source_code	source_text	display_level	selectable	sort_sequence
12XXXX	Aromatics and hydrocarbon derivatives, except halogenated	2	T	18	
1311XX	Chlorine, chlorine bleach	4	T	49	
1312XX	Dichloromethane	4	T	50	
1315XX	Trichloroethylene	4	T	53	
131XXX	Chlorine and chlorine compounds	3	T	48	
1322XX	Fluorotrichloromethane	4	T	56	
132XXX	Fluorine and fluorine compounds	3	T	54	
13XXXX	Halogens and halogen compounds	2	T	47	
146XXX	Other metallics and compounds	3	T	63	
147XXX	Welding or soldering fumes, unspecified or n.e.c.	3	T	69	
148XXX	Multiple metallics and metallic compounds	3	T	70	
14XXXX	Metallic particulates, trace elements, dusts, powders, fumes	2	T	57	
1510XX	Fertilizers, plant food, n.e.c.	3	T	72	
1540XX	Herbicides	3	T	75	
1550XX	Insecticides	3	T	76	
15XXXX	Pesticides and other agricultural chemicals	2	T	71	
161XXX	Coal, coal dust	3	T	80	
162XXX	Natural gas	3	T	81	
163XXX	Petroleum, crude oil	3	T	82	
1641XX	Gasoline, diesel fuel, jet fuel	4	T	84	
1642XX	Lubricating greases, cutting oils	4	T	85	
1643XX	Propane	4	T	86	
1644XX	Paving asphalt, asphaltic cement	4	T	87	
164XXX	Petroleum fuels, distillates, and products, n.e.c.	3	T	83	
16XXXX	Coal, natural gas, petroleum fuels and products	2	T	79	
1711XX	Ammonia, anhydrous ammonia	4	T	90	
171XXX	Ammonia and ammonium compounds	3	T	89	
172XXX	Cryogenic gases	3	T	93	
1731XX	Hydrogen cyanide	4	T	95	
173XXX	Cyanide and cyanide compounds	3	T	94	
1741XX	Carbon monoxide	4	T	97	
1742XX	Carbon dioxide, dry ice	4	T	98	
1743XX	Nitrogen oxides	4	T	99	
174XXX	Oxygen and oxygen compounds	3	T	96	
1751XX	Cyanates, urethanes	4	T	103	
1752XX	Resins	4	T	104	
175XXX	Plastics, resins	3	T	102	
1761XX	Methane gas	4	T	106	
1763XX	Sewer gas	4	T	108	
1764XX	Manure gas	4	T	109	
176XXX	Sewer, mine, and similar gases	3	T	105	
1771XX	Hydrogen sulfide	4	T	111	
177XXX	Sulfur and sulfur compounds	3	T	110	
1780XX	Multiple chemicals or chemical mixtures, n.e.c.	4	T	115	
1791XX	Nitrogen	4	T	117	
1792XX	Helium	4	T	118	
1793XX	Hydrogen	4	T	119	
179XXX	Other chemicals, n.e.c.	3	T	116	
17XXXX	Other chemicals	2	T	88	
1838XX	Multiple cleaning and polishing agents	4	T	129	
183XXX	Cleaning and polishing agents, disinfectants	3	T	123	
1841XX	Alcoholic beverages	4	T	131	
1842XX	Drugs--nonmedicinal	4	T	132	
1843XX	Medicines, except vaccines	4	T	133	
1844XX	Vaccines	4	T	134	
1848XX	Multiple drugs, alcohol, medicines	4	T	135	
184XXX	Drugs, alcohol, and medicines	3	T	130	
1853XX	Gunpowder	4	T	139	
1854XX	Pyrotechnics, fireworks	4	T	140	
185XXX	Explosives, blasting agents	3	T	136	
1861XX	Lacquer, shellac, varnish	4	T	142	
1862XX	Paint	4	T	143	
186XXX	Paint, lacquer, shellac, varnish	3	T	141	
1871XX	Naphtha solvents	4	T	146	
1872XX	Paint removers, thinners	4	T	147	
1878XX	Multiple solvents, degreasers	4	T	149	
187XXX	Solvents, degreasers	3	T	145	
1892XX	Photographic and copying solutions	4	T	152	
189XXX	Other chemical products--general	3	T	150	
18XXXX	Chemical products--general	2	T	121	
1XXXXX	Chemicals and chemical products	1	T	2	
2111XX	Bags, sacks	4	T	157	
2112XX	Barrels, drums--except pressurized	4	T	158	
2113XX	Bottles, jugs, flasks	4	T	159	
2114XX	Boxes, crates, cartons	4	T	160	
2115XX	Buckets, baskets, pails	4	T	161	
2116XX	Cans	4	T	162	
2117XX	Pots, pans, trays	4	T	163	
2118XX	Tanks, bins, vats--nonconfined space	4	T	164	
211XXX	Containers--nonpressurized	3	T	156	
2121XX	Boilers	4	T	166	
2122XX	Hoses	4	T	167	
2123XX	Oxygen tanks and cylinders	4	T	168	
2124XX	Pressure lines, except hoses	4	T	169	
2125XX	Propane tanks and cylinders	4	T	170	
2126XX	Beer and soda kegs	4	T	171	
2127XX	Fire extinguishers	4	T	172	
212XXX	Containers--pressurized	3	T	165	
2131XX	Bundles, bales	4	T	174	
2133XX	Reels, rolls, spools, coils, cones	4	T	176	
213XXX	Containers--variable restraint	3	T	173	
2152XX	Handbags, pocketbooks, wallets, tote bags	4	T	182	
2153XX	Suitcases, baggage, luggage	4	T	183	
2155XX	Backpacks	4	T	185	
215XXX	Luggage, handbags	3	T	180	
216XXX	Skids, pallets	3	T	189	
21XXXX	Containers	2	T	155	
2212XX	Cabinets, cases--display, storage	4	T	194	
2214XX	Racks--garment and other	4	T	196	
2217XX	Shelves, shelving	4	T	199	
221XXX	Cases, cabinets, racks, shelves	3	T	192	
2221XX	Floor coverings--nonstructural	4	T	202	
222XXX	Floor, wall, and window coverings	3	T	201	
2231XX	Beds, mattresses	4	T	206	
2232XX	Benches, workbenches, saw horses	4	T	207	
2233XX	Chairs	4	T	208	
2234XX	Desks	4	T	209	
2236XX	Tables, worktables	4	T	211	
223XXX	Furniture	3	T	205	
2241XX	Lamps, light fixtures	4	T	215	
224XXX	Lighting fixtures and equipment	3	T	214	
2251XX	Bathtubs, hot tubs, showers	4	T	218	
225XXX	Plumbing fixtures	3	T	217	
226XXX	Blackboards, bulletin boards, mirrors	3	T	221	
22XXXX	Furniture and fixtures	2	T	191	
2XXXXX	Containers, furniture, and fixtures	1	T	154	
3111XX	Balers--agricultural	4	T	227	
3112XX	Combines	4	T	228	
3113XX	Harvesters, reapers	4	T	229	
311XXX	Harvesting and threshing machinery	3	T	226	
3121XX	Lawn mowers--nonriding, powered	4	T	232	
3122XX	Lawn mowers--riding	4	T	233	
3123XX	Brush hogs--tractor	4	T	234	
3124XX	Sickle bars--tractor	4	T	235	
3125XX	Mower--tractor, n.e.c.	4	T	236	
312XXX	Mowing machinery	3	T	231	
3131XX	Plowing and cultivating machinery	4	T	238	
3132XX	Seed planting machinery	4	T	239	
3133XX	Spreading machinery--agricultural	4	T	240	
313XXX	Plowing, planting, and fertilizing machinery	3	T	237	
3191XX	Feed grinders, crushers, mixers--agricultural	4	T	242	
3192XX	Spraying and dusting machinery--agricultural	4	T	243	
3193XX	Irrigation machinery	4	T	244	
319XXX	Other agricultural and garden machinery	3	T	241	
31XXXX	Agricultural and garden machinery	2	T	225	
3211XX	Backhoes, trackhoes	4	T	247	
3212XX	Bulldozers	4	T	248	
3213XX	Front and power shovels	4	T	249	
3214XX	Mini excavators	4	T	250	
3215XX	Trenchers	4	T	251	
321XXX	Excavating machinery	3	T	246	
3221XX	Bucket, front-end, end, and pay loaders	4	T	253	
3222XX	Skid steer loaders, mini loaders	4	T	254	
322XXX	Loaders	3	T	252	
3231XX	Mechanical harvesters--logging	4	T	256	
3232XX	Forwarding and yarding machinery, except feller-forwarders	4	T	257	
3233XX	Skidders--cable and grapple	4	T	258	
3234XX	Chippers	4	T	259	
3235XX	Log processing machinery	4	T	260	
3237XX	Log loaders	4	T	262	
323XXX	Logging and wood processing machinery--specialized	3	T	255	
3241XX	Drilling machines, drilling augers	4	T	264	
3242XX	Mineral sorters, separators, concentrators	4	T	265	
3243XX	Tunneling machines	4	T	266	
3244XX	Oil drilling rigs and machinery	4	T	267	
324XXX	Mining and drilling machinery	3	T	263	
3251XX	Asphalt and concrete spreaders	4	T	269	
3252XX	Asphalt and concrete paving machines, pavers	4	T	270	
3253XX	Rollers, compactors--construction	4	T	271	
3254XX	Graders, scrapers--construction	4	T	272	
3255XX	Milling machines, cold planers, and road profilers	4	T	273	
3256XX	Road recyclers, road reclaimers	4	T	274	
3257XX	Material transfer machines	4	T	275	
325XXX	Road grading and surfacing machinery	3	T	268	
3291XX	Agitators, mixers--earth, mineral	4	T	278	
3292XX	Compactors, crushers, pulverizers--earth, mineral	4	T	279	
3293XX	Pile drivers, tamping machinery	4	T	280	
329XXX	Other construction, logging, and mining machinery	3	T	277	
32XXXX	Construction, logging, and mining machinery	2	T	245	
3311XX	Air conditioning units	4	T	283	
3312XX	Fans, blowers--wall, floor, ceiling, ventilation	4	T	284	
3313XX	Humidifiers, dehumidifiers, vaporizers	4	T	285	
3314XX	Refrigerators, freezers, ice makers	4	T	286	
331XXX	Cooling and humidifying machinery and appliances	3	T	282	
3321XX	Beverage heating and percolating equipment and appliances	4	T	288	
3322XX	Broiling and frying equipment and appliances	4	T	289	
3324XX	Furnaces, heaters	4	T	291	
3325XX	Kilns	4	T	292	
3326XX	Ranges, cooking ovens, grills, toasters, food warmers	4	T	293	
332XXX	Heating and cooking machinery and appliances	3	T	287	
3332XX	Clothes dryers	4	T	297	
3333XX	Clothes washers	4	T	298	
3336XX	Vacuum cleaners	4	T	301	
333XXX	Washers, dryers, and cleaning machinery and appliances	3	T	295	
33XXXX	Heating, cooling, and cleaning machinery and appliances	2	T	281	
3411XX	Chutes	4	T	304	
3412XX	Conveyors--roller	4	T	305	
341XXX	Conveyors--gravity and nonpowered	3	T	303	
3421XX	Conveyors--belt	4	T	308	
3422XX	Conveyors--bucket, cup	4	T	309	
3423XX	Conveyors--chain	4	T	310	
3424XX	Conveyors--live roller	4	T	311	
3427XX	Conveyors--screw, auger	4	T	314	
342XXX	Conveyors--powered	3	T	307	
3431XX	Cranes--truck-mounted	4	T	317	
3432XX	Cranes--rail-mounted	4	T	318	
3433XX	Cranes--floating, barge mounted	4	T	319	
3434XX	Cranes--other mobile cranes	4	T	320	
3435XX	Cranes--tower, self-erecting, portal, pillar, hammerhead	4	T	321	
3436XX	Cranes--gantry, overhead, monorail, container	4	T	322	
3437XX	Cranes--other fixed or stationary cranes	4	T	323	
343XXX	Cranes	3	T	316	
3441XX	Overhead hoists--electric powered	4	T	325	
3442XX	Overhead hoists--manual	4	T	326	
3443XX	Overhead hoists--pneumatic powered	4	T	327	
344XXX	Overhead hoists	3	T	324	
345XXX	Derricks and related equipment	3	T	328	
3461XX	Dumbwaiters	4	T	330	
3462XX	Elevators	4	T	331	
3463XX	Manlifts	4	T	332	
3464XX	Automobile lifts and hoists	4	T	333	
3465XX	Material and personnel hoists	4	T	334	
3467XX	Aerial lifts, scissor lifts--except truck-mounted	4	T	336	
346XXX	Elevators, hoists, aerial lifts, personnel platforms--except truck-mounted	3	T	329	
347XXX	Jacks	3	T	337	
3481XX	Ski lifts, gondola rides	4	T	339	
3482XX	Nonrail amusement rides	4	T	340	
348XXX	Ski lifts, nonrail amusement rides	3	T	338	
3491XX	Winders, unwinders	4	T	342	
3492XX	Banding, baling, strapping machinery	4	T	343	
3493XX	Stacking machinery	4	T	344	
349XXX	Other material and personnel handling machinery	3	T	341	
34XXXX	Material and personnel handling machinery	2	T	302	
3511XX	Bending, crimping machines	4	T	347	
3512XX	Shearing machines	4	T	348	
3513XX	Rolling mills, rolling, calendering machinery	4	T	349	
351XXX	Bending, rolling, shaping machinery	3	T	346	
3521XX	Drills--stationary	4	T	351	
3522XX	Planing mills	4	T	352	
3523XX	Milling machines	4	T	353	
3524XX	Reaming machines	4	T	354	
3525XX	Boring, routing, notching machines	4	T	355	
352XXX	Boring, drilling, planing, milling machinery	3	T	350	
3531XX	Casting machinery	4	T	357	
3532XX	Extruding machinery	4	T	358	
3533XX	Forging machinery	4	T	359	
3534XX	Plastic injection molding machinery	4	T	360	
353XXX	Extruding, injecting, forming, molding machinery	3	T	356	
3541XX	Grinders, abraders	4	T	362	
3542XX	Honing, polishing, lapping machinery	4	T	363	
354XXX	Grinding, polishing machinery	3	T	361	
3551XX	Metalworking lathes	4	T	365	
3552XX	Woodworking lathes	4	T	366	
355XXX	Lathes	3	T	364	
3561XX	Assembly presses	4	T	368	
3562XX	Brake presses	4	T	369	
3563XX	Punch presses	4	T	370	
356XXX	Presses, except printing	3	T	367	
3571XX	Arm saws, radial arm saws	4	T	372	
3572XX	Band saws	4	T	373	
3573XX	Table saws	4	T	374	
357XXX	Sawing machinery--stationary	3	T	371	
358XXX	Threading and tapping machines	3	T	375	
3592XX	Laser cutting machinery	4	T	378	
3594XX	Welding machinery	4	T	380	
359XXX	Other metal, woodworking, and special material machinery	3	T	376	
35XXXX	Metal, woodworking, and special material machinery	2	T	345	
3621XX	Automated teller machines	4	T	391	
3627XX	Shredders	4	T	397	
362XXX	Office, banking, and retail machinery	3	T	390	
36XXXX	Office and business machinery	2	T	381	
3713XX	Meat grinders	4	T	402	
3714XX	Mixers, blenders, whippers--food and beverage	4	T	403	
3716XX	Dairy and milk processing machinery--specialized	4	T	405	
371XXX	Food and beverage processing machinery--specialized	3	T	399	
3731XX	Bottling, canning, filling machinery	4	T	410	
3732XX	Packaging, wrapping, bundling machinery	4	T	411	
373XXX	Packaging, bottling, wrapping machinery	3	T	409	
